provincia,municipio,lat,lon
buenos aires,mercedes,-34.6973213261429,-59.4204811393568
rio negro,general roca,-39.0105827929634,-67.6183270840903
buenos aires,general pueyrredon,-37.9656831422558,-57.743028347632
buenos aires,lanus,-34.7056418367328,-58.3947105032598
buenos aires,general rodriguez,-34.6506156900802,-58.9878467982619
buenos aires,brandsen,-35.2225197990076,-58.1752339039367
buenos aires,lujan,-34.5673224195589,-59.1584564399662
buenos aires,merlo,-34.7110032783081,-58.7419584139763
buenos aires,florencio varela,-34.8777448240047,-58.2585548857968
buenos aires,campana,-34.1383889592815,-58.8829573786219
buenos aires,pilar,-34.448164005306,-58.9033327303779
buenos aires,esteban echeverria,-34.8312135656244,-58.4769479291391
buenos aires,lobos,-35.2195857860094,-59.1457418827425
buenos aires,moreno,-34.6106807864957,-58.8108985084533
buenos aires,exaltacion de la cruz,-34.2951342236195,-59.1559461316119
buenos aires,malvinas argentinas,-34.4873113444584,-58.712137241603
buenos aires,canuelas,-35.1448044957897,-58.6910941846835
buenos aires,la plata,-35.0038470156373,-58.0177777886065
buenos aires,san vicente,-35.0715087168304,-58.4318120603266
buenos aires,escobar,-34.3286828340823,-58.7711786108508
buenos aires,almirante brown,-34.8356191132619,-58.3673729329589
buenos aires,ezeiza,-34.8760968437468,-58.5647013731149
buenos aires,lomas de zamora,-34.7549716277843,-58.4240931304426
buenos aires,avellaneda,-34.678165231634,-58.3411669443016
buenos aires,quilmes,-34.7349707991152,-58.2768580209942
buenos aires,berazategui,-34.8182447703804,-58.1554615086763
buenos aires,la matanza,-34.7702975343898,-58.6253776153662
buenos aires,moron,-34.6493861631091,-58.6198317111492
buenos aires,general san martin,-34.5527540154453,-58.5643041474744
buenos aires,san isidro,-34.4868929544338,-58.5372090766753
buenos aires,san fernando,-34.1558361119161,-58.5345816568901
buenos aires,tigre,-34.382019908002,-58.588173872575
buenos aires,san miguel,-34.552134348678,-58.6917835230055
buenos aires,jose c. paz,-34.5118531627172,-58.7776345982889
santa fe,reconquista,-29.2273963709805,-59.6145182689185
buenos aires,pinamar,-37.1110742904919,-56.8702834122219
buenos aires,tornquist,-38.2576421634877,-62.2905659977265
chubut,esquel,-42.9105175261124,-71.3158427579333
cordoba,villa allende,-31.2723301734049,-64.3361456913797
entre rios,concordia,-31.3439911542353,-58.0342282993041
la pampa,santa rosa,-36.5322365145464,-64.4089343089223
rio negro,cipolletti,-39.4542427486591,-68.6955226062846
santa fe,rafaela,-31.2423283955577,-61.4875615908817
cordoba,villa maria,-32.4031012852999,-63.2366303163218
entre rios,concepcion del uruguay,-32.4616997675992,-58.2821726317446
buenos aires,olavarria,-36.8576340464591,-60.670205401306
buenos aires,tandil,-37.3364293166475,-59.1819827896264
buenos aires,azul,-36.7859352165956,-59.6964783376236
buenos aires,chivilcoy,-34.9154873284331,-59.958419488149
buenos aires,san pedro,-33.7809855832464,-59.7826256983281
buenos aires,punta indio,-35.4260558765566,-57.3992340402061
buenos aires,villa gesell,-37.3670719558785,-57.0633978822493
buenos aires,junin,-34.5464751322691,-61.0052501278321
buenos aires,zarate,-33.9970875495819,-59.1282178761959
chubut,trelew,-43.248944421861,-65.3181167767533
chaco,presidencia roque saenz pena,-26.7853900358339,-60.4612869070189
chubut,comodoro rivadavia,-45.839341003736,-67.5913153223866
jujuy,san salvador de jujuy,-24.1943328109466,-65.418750170421
neuquen,san martin de los andes,-40.1347992136446,-71.3015414173334
buenos aires,pergamino,-33.8360667305047,-60.5447827847012
la pampa,general pico,-35.5797743389588,-63.6162726702493
entre rios,parana,-31.7493555782411,-60.5012038041556
santa fe,santa fe,-31.6551557198768,-60.6387714502483
santa fe,venado tuerto,-33.7518202806305,-61.9744594399441
rio negro,san carlos de bariloche,-41.1027302002542,-71.4559580663114
formosa,formosa,-26.1958636875285,-58.217344420551
neuquen,plottier,-38.9485618927944,-68.2773560021318
chubut,rawson,-43.2585661871389,-65.0886233411269
corrientes,corrientes,-27.4938209223809,-58.7708839553989
santa fe,rosario,-32.9489590048173,-60.6980842962309
neuquen,neuquen,-38.9420814031729,-68.103829401365
jujuy,palpala,-24.1949225159114,-65.1264498098014
buenos aires,bahia blanca,-38.5841892125766,-62.1694174494126
buenos aires,balcarce,-37.7146198082256,-58.2717475616573
buenos aires,necochea,-38.2554110045679,-59.1673869468897
buenos aires,ituzaingo,-34.6360716118623,-58.6887595155803
buenos aires,presidente peron,-34.9298478405731,-58.3980842106611
san luis,san luis,-33.3035158233766,-66.3434777445641
rio negro,viedma,-41.0292614690091,-63.3267607269368
cordoba,rio cuarto,-33.115558002371,-64.3570883812807
